episode,timestep,reward
20,2000,-36.9433
40,4000,-41.7401
60,6000,-43.9534
80,8000,-37.4874
100,10000,-38.7981
120,12000,-37.4109
141,14000,-36.8466
161,16000,-37.8696
182,18000,-38.2679
202,20000,-39.1325
222,22000,-35.8408
243,24000,-36.5541
263,26000,-33.3767
283,28000,-33.6938
305,30000,-29.587
326,32000,-32.531
347,34000,-33.2152
367,36000,-32.3966
388,38000,-33.4114
408,40000,-33.2085
429,42000,-35.8806
449,44000,-32.4589
470,46000,-34.5613
491,48000,-33.5828
512,50000,-32.366
532,52000,-38.0262
553,54000,-32.9501
574,56000,-30.1624
595,58000,-34.5987
616,60000,-34.6823
636,62000,-36.001
658,64000,-24.7819
680,66000,-31.7162
701,68000,-32.8459
722,70000,-29.7283
742,72000,-32.7851
764,74000,-33.6652
784,76000,-32.2759
805,78000,-34.2991
826,80000,-36.8628
847,82000,-30.7328
868,84000,-33.7799
889,86000,-31.6034
911,88000,-30.741
932,90000,-31.6341
953,92000,-29.1021
976,94000,-27.1549
998,96000,-28.2203
1020,98000,-25.2706
1041,100000,-33.6245
1063,102000,-29.4998
1086,104000,-28.8479
1108,106000,-29.5196
1130,108000,-28.395
1152,110000,-32.2299
1173,112000,-33.568
1195,114000,-31.4881
1217,116000,-27.9699
1239,118000,-30.2642
1261,120000,-30.8725
1284,122000,-29.9092
1307,124000,-27.9633
1330,126000,-29.0767
1352,128000,-29.6609
1374,130000,-31.0465
1398,132000,-23.1848
1421,134000,-31.6221
1443,136000,-32.2101
1464,138000,-33.2968
1486,140000,-30.1498
1509,142000,-26.7861
1531,144000,-33.3052
1552,146000,-33.478
1575,148000,-29.767
1598,150000,-30.5804
1621,152000,-29.7251
1643,154000,-29.7748
1664,156000,-31.2062
1688,158000,-29.1112
1709,160000,-31.6196
1733,162000,-27.4297
1758,164000,-23.4534
1783,166000,-27.1949
1806,168000,-30.4608
1830,170000,-22.1055
1853,172000,-29.609
1878,174000,-22.0453
1901,176000,-26.5068
1924,178000,-25.7251
1945,180000,-31.1562
1969,182000,-26.9095
1992,184000,-28.0085
2015,186000,-25.8355
2038,188000,-26.2147
2063,190000,-22.1314
2085,192000,-31.6486
2108,194000,-26.9474
2130,196000,-29.8901
2153,198000,-26.8676
2178,200000,-26.0333
2200,202000,-26.6901
2224,204000,-24.412
2247,206000,-29.123
2269,208000,-31.1131
2292,210000,-30.0941
2317,212000,-22.955
2340,214000,-28.7157
2364,216000,-26.0803
2388,218000,-25.6418
2412,220000,-26.5372
2435,222000,-25.1032
2460,224000,-23.1073
2484,226000,-24.0694
2507,228000,-26.8225
2530,230000,-27.6595
2553,232000,-24.4062
2577,234000,-29.5728
2599,236000,-29.0044
2624,238000,-25.8094
2648,240000,-26.2934
2669,242000,-31.8349
2693,244000,-29.0062
2716,246000,-28.1066
2739,248000,-27.2604
2764,250000,-25.1229
2789,252000,-16.0659
2811,254000,-20.1916
2832,256000,-20.3433
2855,258000,-17.6418
2878,260000,-16.352
2902,262000,-19.5003
2924,264000,-20.2492
2949,266000,-16.2376
2970,268000,-21.4243
2994,270000,-14.4538
3018,272000,-18.1406
3041,274000,-18.8128
3066,276000,-12.9712
3090,278000,-15.2272
3112,280000,-19.9345
3134,282000,-20.7176
3158,284000,-15.1841
3181,286000,-16.5607
3204,288000,-18.1161
3227,290000,-20.3595
3251,292000,-15.6557
3273,294000,-18.4895
3296,296000,-18.2225
3321,298000,-14.8249
3345,300000,-17.4029
3368,302000,-19.4021
3392,304000,-17.5867
3416,306000,-15.886
3440,308000,-15.8083
3463,310000,-15.7338
3488,312000,-16.4006
3512,314000,-15.5714
3535,316000,-18.9185
3560,318000,-13.2046
3583,320000,-17.7516
3607,322000,-15.6785
3632,324000,-14.8404
3655,326000,-16.1862
3677,328000,-18.4438
3700,330000,-18.3112
3723,332000,-19.5417
3746,334000,-18.7046
3769,336000,-17.4843
3792,338000,-17.2674
3814,340000,-19.7391
3838,342000,-19.2138
3861,344000,-16.5002
3884,346000,-20.3191
3906,348000,-19.9264
3932,350000,-12.3712
