episode,timestep,reward
39,2000,-50.3309
79,4000,-50.5639
119,6000,-49.5969
159,8000,-49.7097
199,10000,-48.6912
239,12000,-47.4205
279,14000,-48.7688
319,16000,-47.2739
359,18000,-46.7806
399,20000,-47.2666
439,22000,-46.1773
479,24000,-48.5412
519,26000,-46.6464
559,28000,-46.3692
599,30000,-46.8579
639,32000,-46.2024
679,34000,-47.1795
719,36000,-47.7006
759,38000,-47.3987
799,40000,-46.1735
839,42000,-47.0188
879,44000,-48.6742
919,46000,-47.4945
959,48000,-47.7509
999,50000,-47.8996
1039,52000,-48.0632
1079,54000,-46.4631
1119,56000,-47.0587
1159,58000,-46.5441
1199,60000,-47.654
1239,62000,-45.9963
1279,64000,-47.5095
1319,66000,-45.3711
1359,68000,-47.0004
1399,70000,-47.2133
1439,72000,-46.4533
1479,74000,-47.8464
1519,76000,-47.8336
1559,78000,-46.8064
1599,80000,-48.8252
1639,82000,-45.3324
1679,84000,-46.8778
1719,86000,-46.9508
1759,88000,-48.2596
1799,90000,-47.2514
1839,92000,-48.1177
1879,94000,-46.1443
1919,96000,-47.1665
1959,98000,-46.4465
1999,100000,-47.2408
2039,102000,-47.6198
2079,104000,-46.9174
2119,106000,-45.7698
2159,108000,-47.2037
2199,110000,-48.5128
2239,112000,-47.0199
2279,114000,-48.0549
2319,116000,-46.5162
2359,118000,-48.8993
2399,120000,-46.2707
2439,122000,-46.9886
2479,124000,-47.0108
2519,126000,-45.7283
2559,128000,-46.4567
2599,130000,-46.6825
2639,132000,-46.875
2679,134000,-46.7116
2719,136000,-46.5543
2759,138000,-46.8508
2799,140000,-46.133
2839,142000,-47.1915
2879,144000,-46.4142
2919,146000,-46.5925
2959,148000,-48.3225
2999,150000,-48.1339
3039,152000,-46.705
3079,154000,-45.499
3119,156000,-47.5752
3159,158000,-47.0737
3199,160000,-46.0353
3239,162000,-46.9672
3279,164000,-45.3195
3319,166000,-48.2591
3359,168000,-46.3702
3399,170000,-46.6061
3439,172000,-46.7414
3479,174000,-46.2008
3519,176000,-45.358
3559,178000,-47.9285
3599,180000,-45.1899
3639,182000,-47.4627
3679,184000,-46.9323
3719,186000,-46.4084
3759,188000,-47.5084
3799,190000,-46.272
3839,192000,-47.0913
3879,194000,-47.1783
3919,196000,-47.8342
3959,198000,-44.4324
3999,200000,-48.1244
4039,202000,-46.3319
4079,204000,-45.9998
4119,206000,-45.2969
4159,208000,-47.886
4199,210000,-46.3161
4239,212000,-47.4529
4279,214000,-47.8328
4319,216000,-46.0007
4359,218000,-46.4608
4399,220000,-46.1358
4439,222000,-46.3738
4479,224000,-46.4866
4519,226000,-45.8743
4559,228000,-48.1461
4599,230000,-46.547
4639,232000,-46.6588
4679,234000,-46.7133
4719,236000,-46.9622
4759,238000,-46.2444
4799,240000,-46.7033
4839,242000,-46.6731
4879,244000,-47.8991
4919,246000,-46.6808
4959,248000,-46.8512
4999,250000,-45.9013
5039,252000,-10.2051
5079,254000,-9.6921
5119,256000,-10.6168
5159,258000,-9.5997
5199,260000,-9.0023
5239,262000,-10.1009
5279,264000,-10.8016
5319,266000,-9.379
5359,268000,-10.0627
5399,270000,-10.1561
5439,272000,-9.7649
5479,274000,-9.3944
5519,276000,-10.3715
5559,278000,-10.2034
5599,280000,-10.0159
5639,282000,-8.9844
5679,284000,-9.9459
5719,286000,-10.0445
5759,288000,-9.6835
5799,290000,-10.0691
5839,292000,-9.8046
5879,294000,-9.5132
5919,296000,-9.6338
5959,298000,-9.6053
5999,300000,-8.5983
6039,302000,-8.9361
6079,304000,-9.2223
6119,306000,-9.3873
6159,308000,-9.6711
6199,310000,-9.7016
6239,312000,-9.3395
6279,314000,-10.07
6319,316000,-8.6946
6359,318000,-9.3146
6399,320000,-9.017
6439,322000,-9.215
6479,324000,-8.8887
6519,326000,-9.0997
6559,328000,-8.623
6599,330000,-9.0329
6639,332000,-8.8836
6679,334000,-8.969
6719,336000,-8.5527
6759,338000,-8.7478
6799,340000,-9.5458
6839,342000,-8.6653
6879,344000,-9.1912
6919,346000,-8.4437
6959,348000,-8.8936
6999,350000,-8.5218
7039,352000,-8.8355
7079,354000,-8.9251
7119,356000,-8.6303
7159,358000,-8.7663
7199,360000,-8.2552
7239,362000,-8.0645
7279,364000,-8.2729
7319,366000,-8.7479
7359,368000,-8.7453
7399,370000,-7.5301
7439,372000,-8.6729
7479,374000,-7.8285
7519,376000,-8.7538
7559,378000,-8.8597
7599,380000,-8.7736
7639,382000,-8.6143
7679,384000,-8.4156
7719,386000,-7.6239
7759,388000,-8.0613
7799,390000,-7.736
7839,392000,-7.9157
7879,394000,-8.2813
7919,396000,-7.9128
7959,398000,-8.0245
7999,400000,-8.3345
8039,402000,-8.0748
8079,404000,-8.3704
8119,406000,-7.9893
8159,408000,-7.6612
8199,410000,-8.7457
8239,412000,-8.6391
8279,414000,-7.6387
8319,416000,-7.9262
8359,418000,-8.709
8399,420000,-7.6577
8439,422000,-7.8234
8479,424000,-8.5209
8519,426000,-7.6059
8559,428000,-7.355
8599,430000,-7.8895
8639,432000,-7.5799
8679,434000,-7.6673
8719,436000,-6.8179
8759,438000,-7.3959
8799,440000,-6.9898
8839,442000,-8.1967
8879,444000,-7.5538
8919,446000,-7.3848
8959,448000,-7.4075
8999,450000,-7.935
9039,452000,-7.5138
9079,454000,-7.7714
9119,456000,-6.8607
9159,458000,-7.6434
9199,460000,-7.0327
9239,462000,-7.5151
9279,464000,-7.6152
9319,466000,-7.1237
9359,468000,-8.4162
9399,470000,-6.7297
9439,472000,-6.7796
9479,474000,-7.0101
9519,476000,-7.1324
9559,478000,-6.9496
9599,480000,-7.3578
9639,482000,-7.5081
9679,484000,-7.6855
9719,486000,-7.4316
9759,488000,-7.1804
9799,490000,-7.3522
9839,492000,-7.5091
9879,494000,-7.1151
9919,496000,-7.1259
9959,498000,-6.9477
9999,500000,-6.8474
10039,502000,-7.3414
10079,504000,-7.1289
10119,506000,-6.8481
10159,508000,-6.584
10199,510000,-6.9226
10239,512000,-6.4573
10279,514000,-7.1987
10319,516000,-7.1852
10359,518000,-6.9611
10399,520000,-6.8675
10439,522000,-7.6397
10479,524000,-6.6421
10519,526000,-6.8738
10559,528000,-6.5464
10599,530000,-6.082
10639,532000,-6.4891
10679,534000,-7.4718
10719,536000,-6.514
10759,538000,-5.8729
10799,540000,-7.2642
10839,542000,-7.2201
10879,544000,-7.2242
10919,546000,-6.2481
10959,548000,-6.7041
10999,550000,-6.8563
11039,552000,-6.5897
11079,554000,-7.2848
11119,556000,-7.4557
11159,558000,-6.1664
11199,560000,-6.8379
11239,562000,-6.4127
11279,564000,-6.354
11319,566000,-7.038
11359,568000,-7.676
11399,570000,-6.8365
11439,572000,-7.1676
11479,574000,-6.1543
11519,576000,-6.6483
11559,578000,-6.3263
11599,580000,-6.5999
11639,582000,-6.4088
11679,584000,-6.9785
11719,586000,-7.1399
11759,588000,-6.9857
11799,590000,-5.9908
11839,592000,-7.062
11879,594000,-6.6224
11919,596000,-6.8942
11959,598000,-6.6537
11999,600000,-6.6154
12039,602000,-7.0517
12079,604000,-7.5468
12119,606000,-6.347
12159,608000,-6.0102
12199,610000,-6.6405
12239,612000,-5.9052
12279,614000,-5.8378
12319,616000,-6.1053
12359,618000,-6.8
12399,620000,-6.314
12439,622000,-6.4997
12479,624000,-7.3498
12519,626000,-6.4277
12559,628000,-6.8043
12599,630000,-6.6112
12639,632000,-6.2847
12679,634000,-6.0711
12719,636000,-6.2697
12759,638000,-6.275
12799,640000,-6.3482
12839,642000,-6.2097
12879,644000,-6.5406
12919,646000,-6.6145
12959,648000,-6.2754
12999,650000,-6.2258
13039,652000,-6.6702
13079,654000,-6.195
13119,656000,-6.2785
13159,658000,-6.4701
13199,660000,-6.5992
13239,662000,-5.8711
13279,664000,-6.3641
13319,666000,-6.1819
13359,668000,-6.0925
13399,670000,-6.6479
13439,672000,-6.4978
13479,674000,-6.1239
13519,676000,-6.3125
13559,678000,-6.686
13599,680000,-6.2829
13639,682000,-7.1354
13679,684000,-6.5309
13719,686000,-6.2825
13759,688000,-5.6239
13799,690000,-6.0281
13839,692000,-7.0436
13879,694000,-5.8448
13919,696000,-6.3091
13959,698000,-6.3756
13999,700000,-6.0944
14039,702000,-6.2314
14079,704000,-6.3394
14119,706000,-6.248
14159,708000,-6.2334
14199,710000,-6.7067
