episode,timestep,reward
19,2000,-37.0188
39,4000,-37.386
59,6000,-42.6615
79,8000,-42.129
99,10000,-39.66
119,12000,-43.0246
140,14000,-43.3722
160,16000,-44.9556
180,18000,-42.349
200,20000,-35.551
220,22000,-38.6691
240,24000,-40.8571
260,26000,-38.7688
281,28000,-38.7972
301,30000,-38.8857
321,32000,-41.004
341,34000,-37.6789
361,36000,-39.978
381,38000,-42.8217
401,40000,-39.9475
421,42000,-41.3137
441,44000,-41.1103
461,46000,-33.6049
481,48000,-38.0114
501,50000,-39.6015
521,52000,-38.9446
542,54000,-36.6059
562,56000,-39.4609
582,58000,-35.8525
602,60000,-40.7308
622,62000,-41.2637
642,64000,-35.01
662,66000,-40.2321
682,68000,-37.7489
703,70000,-32.9539
724,72000,-39.2363
744,74000,-38.4076
764,76000,-35.6961
785,78000,-31.832
806,80000,-32.504
827,82000,-36.8338
847,84000,-36.4548
867,86000,-38.7636
888,88000,-31.7175
909,90000,-33.8432
929,92000,-36.3428
950,94000,-32.0003
971,96000,-31.0907
992,98000,-32.5724
1012,100000,-32.5292
1033,102000,-35.1026
1053,104000,-34.384
1075,106000,-29.9492
1096,108000,-30.4729
1117,110000,-34.9691
1138,112000,-36.7252
1158,114000,-35.8867
1179,116000,-34.8864
1199,118000,-35.9832
1220,120000,-31.7798
1241,122000,-36.0888
1262,124000,-35.001
1283,126000,-34.8944
1303,128000,-35.6032
1324,130000,-31.9923
1345,132000,-33.6839
1366,134000,-32.7874
1387,136000,-36.8271
1408,138000,-34.5551
1429,140000,-35.2877
1449,142000,-36.6463
1470,144000,-31.7234
1492,146000,-33.1847
1512,148000,-36.4393
1533,150000,-36.6288
1554,152000,-31.4103
1576,154000,-31.9535
1597,156000,-29.5029
1621,158000,-29.8578
1642,160000,-31.9654
1663,162000,-32.0399
1683,164000,-34.5548
1704,166000,-29.1607
1726,168000,-30.3284
1747,170000,-30.6547
1769,172000,-32.125
1791,174000,-29.6591
1813,176000,-31.257
1834,178000,-34.9999
1856,180000,-32.256
1877,182000,-32.6332
1900,184000,-28.8438
1921,186000,-34.9611
1942,188000,-30.917
1965,190000,-32.0529
1987,192000,-28.5438
2008,194000,-32.8882
2029,196000,-34.883
2050,198000,-32.4725
2071,200000,-31.5959
2092,202000,-31.1781
2114,204000,-32.3838
2136,206000,-30.1883
2158,208000,-28.9351
2180,210000,-30.8282
2202,212000,-30.5285
2223,214000,-30.3995
2244,216000,-34.9825
2265,218000,-30.7801
2288,220000,-33.6565
2309,222000,-31.2699
2331,224000,-28.0105
2355,226000,-26.5233
2376,228000,-32.9613
2399,230000,-29.5194
2423,232000,-26.3368
2446,234000,-25.4935
2468,236000,-29.8707
2491,238000,-30.9313
2514,240000,-29.8487
2536,242000,-30.4471
2558,244000,-32.5334
2581,246000,-28.0904
2604,248000,-29.5764
2627,250000,-27.1547
2651,252000,-17.2506
2672,254000,-22.1091
2692,256000,-23.3765
2712,258000,-24.6289
2733,260000,-23.4911
2753,262000,-26.0208
2773,264000,-25.6624
2793,266000,-27.9348
2814,268000,-23.4028
2836,270000,-22.4682
2857,272000,-22.5158
2877,274000,-26.2038
2898,276000,-26.643
2918,278000,-27.279
2939,280000,-21.9664
2960,282000,-23.4838
2980,284000,-25.8961
3001,286000,-23.0761
3021,288000,-27.4865
3041,290000,-24.465
3062,292000,-25.2353
3083,294000,-21.3924
3104,296000,-21.7604
3124,298000,-22.4282
3145,300000,-27.0761
3166,302000,-24.4424
3187,304000,-23.6563
3207,306000,-19.9963
3229,308000,-23.6162
3249,310000,-25.6558
3270,312000,-23.2881
3290,314000,-27.497
3312,316000,-20.9257
3333,318000,-21.8585
3353,320000,-24.4054
3374,322000,-24.9669
3395,324000,-24.961
3415,326000,-24.5151
3435,328000,-23.2317
3456,330000,-22.7128
3477,332000,-21.6367
3499,334000,-20.9427
3519,336000,-23.2775
3540,338000,-21.174
3561,340000,-22.352
3581,342000,-24.0533
3602,344000,-23.7888
3622,346000,-25.4653
3642,348000,-22.6939
3662,350000,-24.5857
3683,352000,-23.0306
3703,354000,-22.4677
3723,356000,-24.5094
3744,358000,-25.5972
3765,360000,-21.6341
3786,362000,-23.173
3807,364000,-18.9517
3828,366000,-23.8678
3850,368000,-22.7511
3870,370000,-24.3142
3891,372000,-22.7702
3911,374000,-25.1067
3932,376000,-21.3363
3953,378000,-21.9401
3973,380000,-21.7525
3994,382000,-19.806
4015,384000,-24.6198
4036,386000,-20.2122
4057,388000,-21.568
4078,390000,-22.2453
4098,392000,-22.1824
4119,394000,-22.9052
4140,396000,-24.3896
4161,398000,-20.5561
4181,400000,-26.0138
4202,402000,-20.5033
4222,404000,-24.7408
4243,406000,-23.7791
4264,408000,-18.1987
4285,410000,-24.5805
4305,412000,-21.6291
4326,414000,-23.8878
4346,416000,-22.8637
4367,418000,-23.5609
4389,420000,-22.8941
4409,422000,-20.523
4430,424000,-21.6133
4451,426000,-21.7903
4471,428000,-21.6071
4492,430000,-21.3008
4512,432000,-21.7358
4532,434000,-23.9762
4553,436000,-21.3383
4573,438000,-24.9248
4594,440000,-21.8924
4615,442000,-22.1573
4636,444000,-20.4921
4657,446000,-22.488
4677,448000,-21.7627
4698,450000,-21.8876
4719,452000,-21.7878
4739,454000,-23.5207
4760,456000,-22.1448
4781,458000,-21.3629
4802,460000,-20.646
4822,462000,-23.3071
4843,464000,-22.4114
4863,466000,-20.2232
4885,468000,-20.1665
4906,470000,-19.9346
4927,472000,-21.3588
4948,474000,-21.3188
4969,476000,-21.2196
4990,478000,-21.0027
5011,480000,-20.2938
5032,482000,-21.1027
5053,484000,-22.8565
5074,486000,-21.5735
5094,488000,-22.2308
5114,490000,-22.1502
5135,492000,-23.5845
5156,494000,-19.0403
5176,496000,-20.4385
5197,498000,-21.4513
5218,500000,-19.9913
5239,502000,-20.4207
5260,504000,-19.5614
5280,506000,-20.7042
5301,508000,-21.0997
5322,510000,-22.8917
5342,512000,-20.7411
5364,514000,-16.0599
5385,516000,-23.7486
5405,518000,-19.913
5427,520000,-19.721
5447,522000,-23.7914
5468,524000,-20.206
5490,526000,-19.6502
5510,528000,-18.5482
5532,530000,-20.6965
5552,532000,-21.3011
5573,534000,-19.1418
5593,536000,-20.5622
5615,538000,-19.5919
5636,540000,-19.2095
5657,542000,-18.9893
5678,544000,-24.0515
5699,546000,-20.5407
5721,548000,-22.129
5742,550000,-18.0091
5762,552000,-20.0817
5783,554000,-19.4891
5804,556000,-21.1634
5825,558000,-21.3235
5847,560000,-20.4941
5868,562000,-19.7447
5888,564000,-19.0959
5909,566000,-19.8189
5932,568000,-18.1608
5952,570000,-18.4516
5974,572000,-17.658
5996,574000,-20.5744
6017,576000,-19.2517
6039,578000,-20.3595
6060,580000,-21.074
6081,582000,-19.576
6103,584000,-16.6888
6124,586000,-15.5707
6146,588000,-17.6864
6168,590000,-18.0017
6189,592000,-17.8152
6211,594000,-17.3892
6233,596000,-19.0644
6254,598000,-19.1423
6276,600000,-20.8963
6297,602000,-17.709
6319,604000,-19.6775
6340,606000,-20.2137
6361,608000,-19.4777
6382,610000,-20.8178
6405,612000,-17.5883
6427,614000,-18.0994
6449,616000,-18.4252
6471,618000,-19.0223
6493,620000,-19.3002
6514,622000,-19.474
6536,624000,-19.4623
6559,626000,-16.1916
6580,628000,-18.0423
6601,630000,-18.4697
6623,632000,-19.8957
6643,634000,-20.9546
6665,636000,-18.5462
6687,638000,-16.1808
6709,640000,-19.0933
6731,642000,-21.2704
6754,644000,-17.8432
6776,646000,-17.7478
6798,648000,-19.5716
6819,650000,-20.388
6842,652000,-19.1563
6863,654000,-16.4664
6886,656000,-18.6287
6907,658000,-20.6742
6929,660000,-18.677
6951,662000,-20.0034
6973,664000,-18.6116
6995,666000,-20.8934
7016,668000,-19.5355
7037,670000,-19.7761
7061,672000,-17.3383
7083,674000,-17.8052
7105,676000,-20.054
7127,678000,-15.7899
7150,680000,-16.2718
7172,682000,-18.5707
7194,684000,-19.2277
7216,686000,-18.2115
7237,688000,-19.9162
7260,690000,-18.0932
7282,692000,-20.4356
7303,694000,-19.5269
7327,696000,-17.2873
7350,698000,-17.9638
7371,700000,-17.4659
7394,702000,-17.6818
7416,704000,-17.5006
7439,706000,-19.422
7461,708000,-17.6132
7483,710000,-18.4102
7505,712000,-17.4745
7526,714000,-19.5159
7549,716000,-17.4571
7571,718000,-20.4812
7593,720000,-19.4729
7615,722000,-16.0964
7638,724000,-17.0762
7662,726000,-14.201
7684,728000,-17.2061
7706,730000,-18.4054
7729,732000,-19.0819
7751,734000,-19.2089
7773,736000,-19.0547
7795,738000,-17.0678
7816,740000,-20.7409
7838,742000,-17.8191
7862,744000,-16.3158
7884,746000,-19.8053
7906,748000,-20.5054
7928,750000,-17.0137
7950,752000,-18.7654
7972,754000,-16.9426
7994,756000,-19.3026
8016,758000,-17.3314
8039,760000,-19.3273
8061,762000,-14.4967
8082,764000,-20.2473
8105,766000,-19.6555
8128,768000,-17.1804
8150,770000,-18.3037
8173,772000,-17.1573
8195,774000,-17.8163
8217,776000,-17.9887
8238,778000,-18.6747
8261,780000,-17.0786
8283,782000,-21.0716
8305,784000,-17.0191
8327,786000,-19.2373
8348,788000,-17.9902
8371,790000,-18.1567
8392,792000,-20.7065
8416,794000,-16.694
8438,796000,-16.3556
8460,798000,-20.0661
8481,800000,-19.5922
8503,802000,-17.1721
8525,804000,-16.0489
8548,806000,-16.7842
8570,808000,-20.4173
8592,810000,-19.0875
8616,812000,-18.3707
8637,814000,-21.1505
8660,816000,-15.9104
8680,818000,-21.0684
8702,820000,-18.208
8725,822000,-17.5007
8747,824000,-18.876
8770,826000,-16.18
8792,828000,-17.7034
8814,830000,-16.9626
8836,832000,-17.9695
8858,834000,-16.4795
8881,836000,-18.6615
8904,838000,-17.7968
8926,840000,-16.5298
8947,842000,-22.0368
8969,844000,-16.8556
8991,846000,-17.9922
9012,848000,-18.3903
9035,850000,-18.8872
9056,852000,-17.9807
9079,854000,-17.704
9102,856000,-18.5332
9123,858000,-17.9485
9146,860000,-17.4783
9169,862000,-18.6137
9189,864000,-19.1966
9211,866000,-17.752
9235,868000,-15.0452
9256,870000,-19.1298
9279,872000,-18.0287
9300,874000,-16.3957
9324,876000,-14.4823
9345,878000,-17.9561
9368,880000,-16.2294
9391,882000,-15.9837
9413,884000,-18.8475
9436,886000,-15.1167
9459,888000,-15.3553
9482,890000,-16.6134
9503,892000,-19.0068
9524,894000,-20.3718
9547,896000,-17.4681
9569,898000,-17.4219
9592,900000,-17.7956
9615,902000,-19.5952
9637,904000,-21.0297
9658,906000,-17.2241
9681,908000,-16.1293
9704,910000,-18.8915
9727,912000,-16.3897
9750,914000,-15.8933
9774,916000,-16.9059
9796,918000,-16.8921
9819,920000,-16.9336
9841,922000,-16.3316
9864,924000,-18.7799
9887,926000,-16.6304
9909,928000,-21.2478
9933,930000,-17.9269
9956,932000,-15.4517
9979,934000,-18.1853
10002,936000,-15.1806
10025,938000,-15.1668
10047,940000,-18.7295
10070,942000,-20.6151
10091,944000,-18.7037
10114,946000,-17.0532
10136,948000,-16.5165
10159,950000,-15.517
10183,952000,-15.9419
10206,954000,-16.6908
10227,956000,-20.4935
10249,958000,-17.0064
10273,960000,-16.6509
10294,962000,-18.2969
10316,964000,-18.0583
10338,966000,-15.5368
10361,968000,-16.9428
10384,970000,-17.153
10406,972000,-19.1503
10429,974000,-15.1217
10452,976000,-16.5105
10476,978000,-16.6916
10498,980000,-17.4676
10521,982000,-16.8439
10544,984000,-17.0104
10566,986000,-19.7829
10588,988000,-18.4607
10611,990000,-16.3253
10634,992000,-18.1929
10657,994000,-15.8625
10679,996000,-17.6979
10702,998000,-16.6869
10725,1000000,-16.5265
10749,1002000,-14.912
10771,1004000,-18.5546
10793,1006000,-20.8347
10816,1008000,-18.1192
10839,1010000,-15.0779
10861,1012000,-18.5532
10883,1014000,-19.3818
10905,1016000,-17.1569
10927,1018000,-16.7978
10950,1020000,-14.6857
