episode,timestep,reward
39,2000,-51.4106
79,4000,-50.8754
119,6000,-52.873
159,8000,-51.4624
199,10000,-47.7821
239,12000,-50.547
279,14000,-47.7733
319,16000,-47.5215
359,18000,-47.3042
399,20000,-47.5873
439,22000,-46.7143
479,24000,-47.0325
519,26000,-47.8995
559,28000,-48.419
599,30000,-46.9093
639,32000,-47.011
679,34000,-45.8743
719,36000,-46.1743
759,38000,-45.7786
799,40000,-45.8623
839,42000,-48.2398
879,44000,-47.165
919,46000,-46.5086
959,48000,-45.9839
999,50000,-48.9627
1039,52000,-46.1672
1079,54000,-47.2595
1119,56000,-46.2265
1159,58000,-47.301
1199,60000,-47.3668
1239,62000,-47.3374
1279,64000,-47.3932
1319,66000,-45.9205
1359,68000,-46.8121
1399,70000,-46.42
1439,72000,-47.0546
1479,74000,-48.5931
1519,76000,-47.2913
1559,78000,-48.2351
1599,80000,-45.3187
1639,82000,-46.7968
1679,84000,-47.8303
1719,86000,-46.2085
1759,88000,-46.0287
1799,90000,-44.9098
1839,92000,-47.6926
1879,94000,-47.3953
1919,96000,-46.0849
1959,98000,-46.3539
1999,100000,-47.2504
2039,102000,-47.2848
2079,104000,-48.7725
2119,106000,-47.5373
2159,108000,-47.1789
2199,110000,-46.9389
2239,112000,-47.7333
2279,114000,-47.9869
2319,116000,-48.5521
2359,118000,-46.235
2399,120000,-47.5128
2439,122000,-47.2023
2479,124000,-47.893
2519,126000,-46.3854
2559,128000,-47.0622
2599,130000,-49.1774
2639,132000,-46.6749
2679,134000,-49.8371
2719,136000,-46.5087
2759,138000,-47.333
2799,140000,-46.0863
2839,142000,-48.2755
2879,144000,-46.5257
2919,146000,-47.7029
2959,148000,-47.593
2999,150000,-46.3661
3039,152000,-46.9528
3079,154000,-46.7117
3119,156000,-47.9466
3159,158000,-46.9651
3199,160000,-47.5025
3239,162000,-48.461
3279,164000,-46.612
3319,166000,-46.9687
3359,168000,-46.4179
3399,170000,-45.7202
3439,172000,-46.7268
3479,174000,-46.8636
3519,176000,-47.3717
3559,178000,-47.0586
3599,180000,-47.8648
3639,182000,-46.2637
3679,184000,-46.3945
3719,186000,-48.7642
3759,188000,-46.2606
3799,190000,-48.9564
3839,192000,-45.9277
3879,194000,-47.722
3919,196000,-47.879
3959,198000,-46.9392
3999,200000,-46.5222
4039,202000,-46.875
4079,204000,-48.0523
4119,206000,-49.8342
4159,208000,-47.3396
4199,210000,-48.44
4239,212000,-48.0555
4279,214000,-46.6796
4319,216000,-46.8418
4359,218000,-46.4581
4399,220000,-46.3731
4439,222000,-46.0188
4479,224000,-44.0212
4519,226000,-48.0773
4559,228000,-47.7146
4599,230000,-46.1292
4639,232000,-46.9416
4679,234000,-44.6395
4719,236000,-46.0144
4759,238000,-46.3503
4799,240000,-46.8219
4839,242000,-47.2877
4879,244000,-46.7495
4919,246000,-47.7622
4959,248000,-45.7237
4999,250000,-46.1178
5039,252000,-11.0476
5079,254000,-10.163
5119,256000,-9.6714
5159,258000,-9.3035
5199,260000,-9.9743
5239,262000,-9.7235
5279,264000,-9.7249
5319,266000,-9.5783
5359,268000,-9.6023
5399,270000,-9.3061
5439,272000,-9.2964
5479,274000,-9.1964
5519,276000,-9.0645
5559,278000,-8.9879
5599,280000,-9.5621
5639,282000,-9.0991
5679,284000,-9.6005
5719,286000,-9.1591
5759,288000,-8.7496
5799,290000,-8.4803
5839,292000,-8.4304
5879,294000,-8.9866
5919,296000,-8.6354
5959,298000,-8.2611
5999,300000,-9.0495
6039,302000,-8.9527
6079,304000,-8.0436
6119,306000,-8.3009
6159,308000,-8.4281
6199,310000,-8.4857
6239,312000,-9.0684
6279,314000,-8.6139
6319,316000,-8.6316
6359,318000,-8.1543
6399,320000,-8.9777
6439,322000,-8.9304
6479,324000,-8.6848
6519,326000,-8.4256
6559,328000,-8.3583
6599,330000,-8.8395
6639,332000,-7.9215
6679,334000,-8.1587
6719,336000,-8.0962
6759,338000,-8.4881
6799,340000,-8.0971
6839,342000,-8.1491
6879,344000,-8.2109
6919,346000,-8.4085
6959,348000,-7.7343
6999,350000,-7.2803
7039,352000,-7.2257
7079,354000,-7.7948
7119,356000,-7.2016
7159,358000,-7.9355
7199,360000,-7.6584
7239,362000,-7.8321
7279,364000,-8.1883
7319,366000,-8.022
7359,368000,-7.6268
7399,370000,-7.218
7439,372000,-7.8213
7479,374000,-7.263
7519,376000,-7.1782
7559,378000,-7.9084
7599,380000,-7.8561
7639,382000,-7.0575
7679,384000,-7.5832
7719,386000,-7.1278
7759,388000,-8.6079
7799,390000,-7.0787
7839,392000,-7.3996
7879,394000,-7.7204
7919,396000,-7.4936
7959,398000,-7.138
7999,400000,-7.38
8039,402000,-7.25
8079,404000,-6.9669
8119,406000,-7.4242
8159,408000,-6.6378
8199,410000,-7.0093
8239,412000,-6.8413
8279,414000,-6.9488
8319,416000,-7.817
8359,418000,-7.1472
8399,420000,-7.086
8439,422000,-6.7709
8479,424000,-6.8187
8519,426000,-6.3225
8559,428000,-6.9208
8599,430000,-7.1927
8639,432000,-6.7964
8679,434000,-6.977
8719,436000,-6.7063
8759,438000,-6.5408
8799,440000,-6.139
8839,442000,-7.2762
8879,444000,-6.931
8919,446000,-7.6575
8959,448000,-6.4545
8999,450000,-6.7031
9039,452000,-6.6623
9079,454000,-6.5209
9119,456000,-6.9895
9159,458000,-6.9478
9199,460000,-5.8513
9239,462000,-6.6561
9279,464000,-7.2981
9319,466000,-7.3589
9359,468000,-7.208
9399,470000,-5.8827
9439,472000,-6.2785
9479,474000,-7.4624
9519,476000,-6.8001
9559,478000,-5.8636
9599,480000,-6.8519
9639,482000,-7.0811
