episode,timestep,reward
19,2000,-37.9209
39,4000,-35.6794
59,6000,-40.7691
79,8000,-41.9428
99,10000,-37.5043
119,12000,-34.3073
139,14000,-36.2188
159,16000,-35.9448
179,18000,-36.8991
199,20000,-33.3708
219,22000,-36.0771
239,24000,-35.5099
259,26000,-34.809
279,28000,-34.4237
299,30000,-32.8913
319,32000,-33.1826
339,34000,-31.5244
360,36000,-36.7741
380,38000,-33.6388
400,40000,-33.2524
420,42000,-36.0876
440,44000,-32.1658
460,46000,-34.4518
480,48000,-33.8757
501,50000,-34.6261
521,52000,-33.7937
541,54000,-31.7233
561,56000,-33.5983
582,58000,-31.7789
602,60000,-35.4275
622,62000,-32.2151
642,64000,-31.81
662,66000,-30.7112
682,68000,-32.9916
702,70000,-30.0392
722,72000,-30.5821
743,74000,-30.8326
763,76000,-32.8791
783,78000,-30.49
804,80000,-28.6738
824,82000,-30.2077
844,84000,-29.2047
864,86000,-29.9186
884,88000,-30.9931
905,90000,-30.9931
925,92000,-32.9033
946,94000,-29.7065
967,96000,-28.7008
987,98000,-33.107
1007,100000,-31.5376
1027,102000,-31.1403
1048,104000,-29.3416
1069,106000,-29.4576
1089,108000,-27.2993
1110,110000,-28.9648
1130,112000,-29.8972
1150,114000,-29.1524
1171,116000,-30.2585
1192,118000,-27.3294
1213,120000,-27.0359
1235,122000,-27.9744
1255,124000,-32.1827
1275,126000,-32.0852
1295,128000,-27.9697
1315,130000,-30.7148
1335,132000,-31.2015
1356,134000,-28.5628
1377,136000,-30.9738
1398,138000,-28.3611
1418,140000,-31.1187
1438,142000,-29.9341
1458,144000,-28.3494
1479,146000,-27.7879
1500,148000,-28.5508
1521,150000,-25.3977
1542,152000,-27.3316
1562,154000,-27.0446
1583,156000,-30.423
1604,158000,-27.583
1625,160000,-29.6018
1645,162000,-32.0762
1666,164000,-29.144
1686,166000,-31.9084
1708,168000,-24.0869
1729,170000,-29.688
1749,172000,-30.0171
1770,174000,-29.8903
1791,176000,-27.0364
1812,178000,-30.1551
1833,180000,-25.8162
1854,182000,-27.289
1874,184000,-29.0138
1894,186000,-28.902
1916,188000,-25.3947
1937,190000,-30.3338
1958,192000,-27.3042
1979,194000,-23.645
2000,196000,-27.1031
2021,198000,-25.1543
2042,200000,-25.1282
2063,202000,-26.5696
2083,204000,-29.5368
2105,206000,-23.3182
2125,208000,-27.3663
2147,210000,-22.8857
2170,212000,-24.2387
2190,214000,-29.3341
2211,216000,-25.7929
2233,218000,-24.1203
2254,220000,-26.3835
2275,222000,-26.0876
2296,224000,-25.3114
2318,226000,-27.3294
2340,228000,-22.7994
2361,230000,-22.7726
2382,232000,-28.9398
2403,234000,-25.4255
2424,236000,-24.4348
2444,238000,-25.5854
2465,240000,-24.6599
2487,242000,-25.1806
2509,244000,-25.7213
2529,246000,-23.8612
2551,248000,-25.7871
2573,250000,-21.1897
2595,252000,-18.5684
2616,254000,-21.898
2637,256000,-21.6372
2658,258000,-20.8161
2680,260000,-18.5514
2700,262000,-20.8325
2721,264000,-22.4281
2742,266000,-21.7065
2764,268000,-19.2767
2784,270000,-22.0938
2805,272000,-20.4187
2826,274000,-16.8797
2847,276000,-20.9808
2868,278000,-19.8803
2890,280000,-16.9804
2911,282000,-22.1033
2932,284000,-19.7198
2953,286000,-15.9037
2975,288000,-17.7438
2996,290000,-19.7385
3016,292000,-23.8898
3037,294000,-19.6914
3057,296000,-20.421
3079,298000,-17.9954
3099,300000,-23.7531
3121,302000,-19.8716
3142,304000,-18.1329
3163,306000,-22.5663
3184,308000,-21.3603
3207,310000,-15.827
3227,312000,-21.0866
3248,314000,-21.7469
3269,316000,-18.3243
3290,318000,-20.7899
3311,320000,-20.1345
3331,322000,-23.1686
3351,324000,-23.3337
3373,326000,-18.8852
3394,328000,-18.9757
3416,330000,-18.4083
3437,332000,-21.2199
3458,334000,-21.441
3478,336000,-20.878
3500,338000,-20.3048
3521,340000,-21.5305
3542,342000,-20.1433
3562,344000,-19.5581
3583,346000,-21.2271
3604,348000,-18.7327
3625,350000,-21.0184
3646,352000,-20.346
3667,354000,-21.3894
3687,356000,-20.6877
3708,358000,-21.9076
3729,360000,-19.9949
3750,362000,-20.488
3770,364000,-20.9803
3790,366000,-22.925
3811,368000,-21.6364
3832,370000,-19.0693
3853,372000,-20.6324
3875,374000,-19.2312
3895,376000,-20.6714
3917,378000,-17.6674
3938,380000,-21.256
3959,382000,-19.116
3980,384000,-19.619
4003,386000,-18.501
4025,388000,-17.9422
4046,390000,-21.0216
4068,392000,-19.1871
4088,394000,-19.5398
4110,396000,-19.637
4130,398000,-20.5077
4150,400000,-22.2017
4170,402000,-20.2263
4191,404000,-21.7459
4212,406000,-20.9197
4234,408000,-18.0875
4254,410000,-21.1078
4277,412000,-17.5749
4298,414000,-19.8755
4319,416000,-19.6703
4340,418000,-19.9682
4362,420000,-17.4152
4382,422000,-17.4246
4404,424000,-20.2167
4425,426000,-20.0478
4447,428000,-20.132
4467,430000,-23.5053
4488,432000,-20.9139
4510,434000,-19.1205
4531,436000,-21.2721
4553,438000,-18.7523
4574,440000,-18.2912
4596,442000,-19.9046
4617,444000,-21.8494
4638,446000,-19.3466
4659,448000,-19.6029
4681,450000,-18.0516
4702,452000,-20.2192
4723,454000,-20.8942
4744,456000,-20.1859
4765,458000,-20.9386
4785,460000,-18.3137
4807,462000,-19.1988
4828,464000,-20.1632
4849,466000,-18.371
4871,468000,-19.9811
4892,470000,-19.342
4913,472000,-17.4062
4934,474000,-18.5586
4956,476000,-18.988
4977,478000,-20.0601
4999,480000,-17.7974
5021,482000,-18.4778
5042,484000,-19.6316
5063,486000,-19.8006
5084,488000,-19.0848
5106,490000,-19.1135
5126,492000,-20.1565
5147,494000,-22.4082
5168,496000,-18.4941
5190,498000,-18.4228
5210,500000,-20.6316
5232,502000,-20.0887
5254,504000,-17.339
5275,506000,-17.9077
5297,508000,-19.4411
5318,510000,-18.4182
5339,512000,-19.9136
5359,514000,-19.4386
5381,516000,-20.4615
5402,518000,-18.854
5423,520000,-19.3889
5444,522000,-17.9606
5467,524000,-16.1585
5488,526000,-20.1425
5510,528000,-17.9881
5532,530000,-16.3045
5553,532000,-20.6494
5573,534000,-21.0527
5594,536000,-21.3334
5614,538000,-23.4631
5635,540000,-22.3813
5656,542000,-20.1915
5677,544000,-20.2805
5698,546000,-22.3707
5719,548000,-19.3621
5740,550000,-20.8113
5761,552000,-19.0921
5782,554000,-17.93
5803,556000,-20.6094
5824,558000,-18.9055
5844,560000,-22.7328
5865,562000,-20.7037
5886,564000,-21.8583
5907,566000,-19.2666
5927,568000,-21.3502
5948,570000,-18.6245
5969,572000,-20.1649
5990,574000,-20.8123
6013,576000,-15.8776
6034,578000,-18.2067
6055,580000,-22.6375
6076,582000,-19.5562
6098,584000,-19.3991
6119,586000,-18.0823
6140,588000,-19.643
6160,590000,-23.4656
6180,592000,-20.9215
6201,594000,-20.6956
6223,596000,-17.263
6245,598000,-17.9662
6266,600000,-19.1306
6287,602000,-18.0594
6307,604000,-21.4906
6328,606000,-19.9149
6349,608000,-19.9884
6370,610000,-19.5804
6391,612000,-21.2605
6412,614000,-19.5414
6434,616000,-20.0111
6455,618000,-19.863
6477,620000,-17.8105
6497,622000,-22.2952
6519,624000,-14.3168
6540,626000,-21.8963
6562,628000,-18.2675
6583,630000,-17.6161
6605,632000,-20.1775
6626,634000,-19.1274
6647,636000,-20.7469
6669,638000,-17.5827
6690,640000,-19.5696
6711,642000,-18.1274
6733,644000,-18.7069
6754,646000,-19.7265
6775,648000,-18.8402
6797,650000,-18.3545
6817,652000,-18.8356
6837,654000,-21.6146
6859,656000,-18.0837
6881,658000,-19.6546
6902,660000,-17.7465
6923,662000,-18.4378
6945,664000,-18.4126
6965,666000,-21.8796
6986,668000,-21.6089
7007,670000,-19.2249
7028,672000,-20.7506
7049,674000,-17.8847
7069,676000,-21.1458
7090,678000,-20.4202
7112,680000,-15.9375
7133,682000,-17.7463
7155,684000,-16.8065
7177,686000,-18.7654
7200,688000,-16.3665
7221,690000,-20.5851
7242,692000,-20.7503
7262,694000,-21.6923
7283,696000,-19.1761
7304,698000,-19.2526
7325,700000,-19.6716
7346,702000,-18.4138
7367,704000,-20.7256
7389,706000,-19.9086
7411,708000,-17.0953
7433,710000,-18.9779
7454,712000,-21.2167
7475,714000,-19.7232
7496,716000,-17.7956
7517,718000,-18.9129
7540,720000,-19.2334
7562,722000,-18.3987
7583,724000,-21.2413
7603,726000,-19.5784
7625,728000,-19.5211
7646,730000,-20.0751
7667,732000,-21.9916
7687,734000,-20.3592
7708,736000,-21.1174
7731,738000,-14.6369
7752,740000,-20.3917
7773,742000,-18.3148
7795,744000,-19.6255
7815,746000,-19.9822
7837,748000,-19.32
7858,750000,-18.0189
7879,752000,-20.631
7900,754000,-17.6974
7922,756000,-18.1512
7943,758000,-18.8163
7964,760000,-20.9248
7987,762000,-17.8998
8010,764000,-17.0545
8031,766000,-18.8392
8051,768000,-21.1153
8073,770000,-15.9524
8096,772000,-15.9265
8119,774000,-16.5574
8140,776000,-19.2778
8161,778000,-20.148
8182,780000,-18.0664
8203,782000,-17.3116
8225,784000,-17.4169
8248,786000,-16.4776
8270,788000,-19.2952
8291,790000,-19.7838
8311,792000,-19.095
8333,794000,-18.2342
8354,796000,-20.8098
8376,798000,-18.0065
8399,800000,-16.1722
