episode,timestep,reward
39,2000,-49.1025
79,4000,-48.1525
119,6000,-48.0873
159,8000,-48.3186
199,10000,-49.0965
239,12000,-47.0247
279,14000,-46.4089
319,16000,-48.4037
359,18000,-48.233
399,20000,-47.965
439,22000,-49.867
479,24000,-47.206
519,26000,-47.9044
559,28000,-47.6887
599,30000,-48.028
639,32000,-48.6365
679,34000,-46.9197
719,36000,-47.3513
759,38000,-47.5345
799,40000,-48.3408
839,42000,-46.3428
879,44000,-47.0779
919,46000,-46.8992
959,48000,-46.5575
999,50000,-46.8621
1039,52000,-45.3527
1079,54000,-46.2797
1119,56000,-47.1115
1159,58000,-47.6473
1199,60000,-45.5327
1239,62000,-45.3509
1279,64000,-47.2598
1319,66000,-46.381
1359,68000,-46.441
1399,70000,-45.7718
1439,72000,-45.2269
1479,74000,-44.8594
1519,76000,-45.2388
1559,78000,-46.2165
1599,80000,-47.2655
1639,82000,-46.3394
1679,84000,-46.5561
1719,86000,-45.0492
1759,88000,-46.4046
1799,90000,-47.5491
1839,92000,-45.2175
1879,94000,-46.4275
1919,96000,-45.8622
1959,98000,-45.0538
1999,100000,-44.7754
2039,102000,-45.3981
2079,104000,-46.3198
2119,106000,-44.9965
2159,108000,-46.396
2199,110000,-46.6043
2239,112000,-47.2955
2279,114000,-45.7442
2319,116000,-46.2408
2359,118000,-46.6721
2399,120000,-46.5391
2439,122000,-45.5805
2479,124000,-47.3781
2519,126000,-45.1379
2559,128000,-47.7913
2599,130000,-46.628
2639,132000,-46.1851
2679,134000,-46.5249
2719,136000,-47.2428
2759,138000,-46.8052
2799,140000,-47.2938
2839,142000,-47.0731
2879,144000,-47.6758
2919,146000,-46.6167
2959,148000,-45.8288
2999,150000,-48.3212
3039,152000,-46.7751
3079,154000,-45.7525
3119,156000,-47.8176
3159,158000,-45.6788
3199,160000,-47.2182
3239,162000,-47.5289
3279,164000,-45.7515
3319,166000,-47.9089
3359,168000,-47.2329
3399,170000,-47.693
3439,172000,-45.5695
3479,174000,-46.6237
3519,176000,-47.3794
3559,178000,-46.9761
3599,180000,-47.5129
3639,182000,-46.7993
3679,184000,-47.6781
3719,186000,-48.2655
3759,188000,-47.389
3799,190000,-47.5591
3839,192000,-46.9547
3879,194000,-47.0897
3919,196000,-47.9272
3959,198000,-47.0101
3999,200000,-47.0324
4039,202000,-46.5923
4079,204000,-46.8121
4119,206000,-45.8248
4159,208000,-46.3431
4199,210000,-44.2645
4239,212000,-47.1154
4279,214000,-45.4484
4319,216000,-47.2753
4359,218000,-47.0402
4399,220000,-46.3382
4439,222000,-47.1396
4479,224000,-47.8951
4519,226000,-48.3241
4559,228000,-46.4943
4599,230000,-45.8473
4639,232000,-47.2295
4679,234000,-46.2134
4719,236000,-47.8074
4759,238000,-45.1932
4799,240000,-47.7788
4839,242000,-46.9266
4879,244000,-47.8497
4919,246000,-50.046
4959,248000,-48.9373
4999,250000,-48.0882
5039,252000,-11.6244
5079,254000,-10.8946
5119,256000,-10.6528
5159,258000,-10.8013
