episode,timestep,reward
39,2000,-47.6261
79,4000,-47.0701
119,6000,-46.5705
159,8000,-48.7285
199,10000,-46.1368
239,12000,-47.3949
279,14000,-46.6172
319,16000,-44.7364
359,18000,-48.0159
399,20000,-47.2248
439,22000,-46.4598
479,24000,-46.3656
519,26000,-47.7731
559,28000,-48.5436
599,30000,-46.9842
639,32000,-48.4845
679,34000,-48.3922
719,36000,-46.539
759,38000,-47.8234
799,40000,-46.9633
839,42000,-46.8838
879,44000,-45.6568
919,46000,-46.17
959,48000,-47.3052
999,50000,-45.9514
1039,52000,-45.8006
1079,54000,-46.211
1119,56000,-46.2146
1159,58000,-46.0981
1199,60000,-47.1345
1239,62000,-47.4748
1279,64000,-46.8546
1319,66000,-45.6253
1359,68000,-45.2088
1399,70000,-46.4278
1439,72000,-47.1667
1479,74000,-46.2436
1519,76000,-47.4863
1559,78000,-47.4113
1599,80000,-47.8826
1639,82000,-47.1042
1679,84000,-45.7784
1719,86000,-47.0843
1759,88000,-48.8618
1799,90000,-46.3387
1839,92000,-45.508
1879,94000,-46.7554
1919,96000,-46.8328
1959,98000,-46.0637
1999,100000,-46.4646
