episode,timestep,reward
1,2000,-1496.6387
3,4000,-1372.089
5,6000,-1367.6778
7,8000,-1406.7993
9,10000,-1473.6671
11,12000,-1328.8956
13,14000,-1347.6229
15,16000,-1319.4526
17,18000,-1424.8299
19,20000,-1386.3948
21,22000,-1339.826
23,24000,-1348.1979
25,26000,-1362.4194
27,28000,-1369.9257
29,30000,-1285.8659
31,32000,-1362.7163
33,34000,-1270.3165
35,36000,-1354.4586
37,38000,-1437.0921
39,40000,-1507.8388
41,42000,-1391.8576
43,44000,-1384.4573
45,46000,-1349.0144
47,48000,-1301.0435
49,50000,-1272.6012
51,52000,-1318.6572
53,54000,-1294.405
55,56000,-1391.8081
57,58000,-1436.0027
59,60000,-1429.8411
61,62000,-1379.7176
63,64000,-1348.8164
65,66000,-1341.2351
67,68000,-1411.3358
69,70000,-1349.7076
71,72000,-1395.0089
73,74000,-1372.3078
75,76000,-1384.8933
77,78000,-1357.3938
79,80000,-1345.7279
81,82000,-1399.4607
83,84000,-1365.6828
85,86000,-1497.4252
87,88000,-1324.0013
89,90000,-1382.2723
91,92000,-1393.4893
93,94000,-1251.397
95,96000,-1412.8919
97,98000,-1329.4722
99,100000,-1402.0701
101,102000,-1446.487
103,104000,-1288.9871
105,106000,-1366.5432
107,108000,-1367.221
109,110000,-1337.9127
111,112000,-1388.1214
113,114000,-1256.3748
115,116000,-1389.474
117,118000,-1378.7623
119,120000,-1571.6795
121,122000,-1460.8887
123,124000,-1380.1993
125,126000,-1303.9841
127,128000,-1339.299
129,130000,-1387.0374
131,132000,-1379.5456
133,134000,-1339.7728
135,136000,-1357.1514
137,138000,-1400.6874
139,140000,-1392.4106
141,142000,-1372.7086
143,144000,-1286.5132
145,146000,-1328.852
147,148000,-1394.4808
149,150000,-1311.2273
151,152000,-1288.2977
153,154000,-1350.6001
155,156000,-1409.5999
157,158000,-1413.7711
159,160000,-1381.56
161,162000,-1402.4347
163,164000,-1402.793
165,166000,-1363.5461
167,168000,-1297.4007
169,170000,-1423.8109
171,172000,-1486.4414
173,174000,-1447.6023
175,176000,-1413.284
177,178000,-1302.6257
179,180000,-1459.0128
181,182000,-1416.0764
183,184000,-1330.8015
185,186000,-1344.495
187,188000,-1490.3103
189,190000,-1410.6586
191,192000,-1284.0923
193,194000,-1462.4756
195,196000,-1466.1258
197,198000,-1445.2002
199,200000,-1427.1977
201,202000,-1374.4779
203,204000,-1320.9652
205,206000,-1441.362
207,208000,-1640.6951
209,210000,-1597.0494
211,212000,-1746.2043
213,214000,-1631.0958
215,216000,-1709.1459
217,218000,-1379.9942
219,220000,-1512.6728
221,222000,-1598.752
223,224000,-1418.1117
225,226000,-1527.8381
227,228000,-1879.3831
229,230000,-1402.7474
231,232000,-1353.1112
233,234000,-1371.6133
235,236000,-1433.863
237,238000,-1513.8716
